x f[0] f[1] f[2] f[3] f[0,1] f[1,2] f[2,3] f[0,1,2] f[1,2,3] f[0,1,2,3]
2.230000 0.000000 0.000000 0.000000 0.592900 0.000000 0.000000 0.592900 0.000000 0.296450 0.098817
2.240000 0.000000 0.000000 0.000000 0.577600 0.000000 0.000000 0.577600 0.000000 0.288800 0.096267
2.250000 0.000000 0.000000 0.000000 0.562500 0.000000 0.000000 0.562500 0.000000 0.281250 0.093750
2.260000 0.000000 0.000000 0.000000 0.547600 0.000000 0.000000 0.547600 0.000000 0.273800 0.091267
2.270000 0.000000 0.000000 0.000000 0.532900 0.000000 0.000000 0.532900 0.000000 0.266450 0.088817
2.280000 0.000000 0.000000 0.000000 0.518400 0.000000 0.000000 0.518400 0.000000 0.259200 0.086400
2.290000 0.000000 0.000000 0.000000 0.504100 0.000000 0.000000 0.504100 0.000000 0.252050 0.084017
2.300000 0.000000 0.000000 0.000000 0.490000 0.000000 0.000000 0.490000 0.000000 0.245000 0.081667
2.310000 0.000000 0.000000 0.000000 0.476100 0.000000 0.000000 0.476100 0.000000 0.238050 0.079350
2.320000 0.000000 0.000000 0.000000 0.462400 0.000000 0.000000 0.462400 0.000000 0.231200 0.077067
2.330000 0.000000 0.000000 0.000000 0.448900 0.000000 0.000000 0.448900 0.000000 0.224450 0.074817
2.340000 0.000000 0.000000 0.000000 0.435600 0.000000 0.000000 0.435600 0.000000 0.217800 0.072600
2.350000 0.000000 0.000000 0.000000 0.422500 0.000000 0.000000 0.422500 0.000000 0.211250 0.070417
2.360000 0.000000 0.000000 0.000000 0.409600 0.000000 0.000000 0.409600 0.000000 0.204800 0.068267
2.370000 0.000000 0.000000 0.000000 0.396900 0.000000 0.000000 0.396900 0.000000 0.198450 0.066150
2.380000 0.000000 0.000000 0.000000 0.384400 0.000000 0.000000 0.384400 0.000000 0.192200 0.064067
2.390000 0.000000 0.000000 0.000000 0.372100 0.000000 0.000000 0.372100 0.000000 0.186050 0.062017
2.400000 0.000000 0.000000 0.000000 0.360000 0.000000 0.000000 0.360000 0.000000 0.180000 0.060000
2.410000 0.000000 0.000000 0.000000 0.348100 0.000000 0.000000 0.348100 0.000000 0.174050 0.058017
2.420000 0.000000 0.000000 0.000000 0.336400 0.000000 0.000000 0.336400 0.000000 0.168200 0.056067
2.430000 0.000000 0.000000 0.000000 0.324900 0.000000 0.000000 0.324900 0.000000 0.162450 0.054150
2.440000 0.000000 0.000000 0.000000 0.313600 0.000000 0.000000 0.313600 0.000000 0.156800 0.052267
